17.31-1|Fabricacao de embalagens de papel|C-7
17.32-0|Fabricacao de embalagens de cartolina e papel-cartao|C-7
17.33-8|Fabricacao de chapas e de embalagens de papelao ondulado|C-7
17.41-9|Fabricacao de produtos de papel, cartolina, papel-cartao e papelao ondulado para uso comercial e de escritorio|C-7
17.42-7|Fabricacao de produtos de papel para usos domestico e higienicosanitario|C-7
17.49-4|Fabricacao de produtos de pastas celulosicas, papel, cartolina, papelcartao e papelao ondulado nao especificados anteriormente|C-7
18.11|Impressao de jornais, livros, revistas e outras publicacoes periodicas|C-8
18.12-1|Impressao de material de seguranca|C-8
18.13-0|Impressao de materiais para outros usos|C-8
18.21-1|Servicos de pre-impressao|C-8
18.22-9|Servicos de acabamentos graficos|C-8
18.30-0|Reproducao de materiais gravados em qualquer suporte|C-9
19.10-1|Coquerias|C-1
19.21-7|Fabricacao de produtos do refino de petroleo|C-1A
19.22-5|Fabricacao de produtos derivados do petroleo, exceto produtos do refino|C-1A
19.31-4|Fabricacao de alcool|C-1A
19.32-2|Fabricacao de biocombustiveis, exceto alcool|C-10
20.11|Fabricacao de cloro e alcalis|C-10
20.12-6|Fabricacao de intermediarios para fertilizantes|C-10
20.13-4|Fabricacao de adubos e fertilizantes|C-10
20.14-2|Fabricacao de gases industriais|C-10
20.19-3|Fabricacao de produtos quimicos inorgânicos nao especificados anteriormente|C-10
20.21-5|Fabricacao de produtos petroquimicos basicos|C-10
20.22-3|Fabricacao de intermediarios para plastificantes, resinas e fibras|C-10
20.29-1|Fabricacao de produtos quimicos orgânicos nao especificados anteriormente|C-10
20.31-2|Fabricacao de resinas termoplasticas|C-10
20.32-1|Fabricacao de resinas termofixas|C-10
20.33-9|Fabricacao de elastomeros|C-10
20.40-1|Fabricacao de fibras artificiais e sinteticas|C-10
20.51-7|Fabricacao de defensivos agricolas|C-10
20.52-5|Fabricacao de desinfestantes domissanitarios|C-10
20.61-4|Fabricacao de saboes e detergentes sinteticos|C-10
20.62-2|Fabricacao de produtos de limpeza e polimento|C-10
20.63-1|Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal|C-10
20.71-1|Fabricacao de tintas, vernizes, esmaltes e lacas|C-10
20.72-0|Fabricacao de tintas de impressao|C-10
20.73-8|Fabricacao de impermeabilizantes, solventes e produtos afins|C-10
20.91-6|Fabricacao de adesivos e selantes|C-10
20.92-4|Fabricacao de explosivos|C-15
20.93-2|Fabricacao de aditivos de uso industrial|C-10
20.94-1|Fabricacao de catalisadores|C-10
20.99-1|Fabricacao de produtos quimicos nao especificados anteriormente|C-10
21.10-6|Fabricacao de produtos farmoquimicos|C-10
21.21-1|Fabricacao de medicamentos para uso humano|C-10
21.22-0|Fabricacao de medicamentos para uso veterinario|C-10
21.23-8|Fabricacao de preparacoes farmaceuticas|C-10
22.11-1|Fabricacao de pneumaticos e de câmaras-de-ar|C-11
22.12-9|Reforma de pneumaticos usados|C-11
22.19-6|Fabricacao de artefatos de borracha nao especificados anteriormente|C-11
22.21-8|Fabricacao de laminados planos e tubulares de material plastico|C-10
22.22-6|Fabricacao de embalagens de material plastico|C-10
22.23-4|Fabricacao de tubos e acessorios de material plastico para uso na construcao|C-10
22.29-3|Fabricacao de artefatos de material plastico nao especificados anteriormente|C-10
23.11-7|Fabricacao de vidro plano e de seguranca|C12
23.12-5|Fabricacao de embalagens de vidro|C12
23.19-2|Fabricacao de artigos de vidro|C-12
23.20-6|Fabricacao de cimento|C-1
23.30-3|Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes|C-12
23.41-9|Fabricacao de produtos cerâmicos refratarios|C-12
23.42-7|Fabricacao de produtos cerâmicos nao-refratarios para uso estrutural na construcao|C-12
23.49-4|Fabricacao de produtos cerâmicos nao-refratarios nao especificados anteriormente|C-12
23.91-5|Aparelhamento e outros trabalhos em pedras|C-1
23.92-3|Fabricacao de cal e gesso|C-12
23.99-1|Fabricacao de produtos de minerais nao-metalicos nao especificados anteriormente|C-12
24.11-3|Producao de ferro-gusa|C-13
24.12-1|Producao de ferroligas|C-13
24.21-1|Producao de semi-acabados de aco|C-13
24.22-9|Producao de laminados planos de aco|C-13
24.23-7|Producao de laminados longos de aco|C-13
24.24-5|Producao de relaminados, trefilados e perfilados de aco|C-13
24.31-8|Producao de tubos de aco com costura|C-13
24.39-3|Producao de outros tubos de ferro e aco|C-13
24.41-5|Metalurgia do aluminio e suas ligas|C-13
24.42-3|Metalurgia dos metais preciosos|C-13
24.43-1|Metalurgia do cobre|C-13
24.49-1|Metalurgia dos metais nao-ferrosos e suas ligas nao especificados anteriormente|C-13
24.51-2|Fundicao de ferro e aco|C-13
24.52-1|Fundicao de metais nao-ferrosos e suas ligas|C-13
25.11-0|Fabricacao de estruturas metalicas|C-13
25.12-8|Fabricacao de esquadrias de metal|C-14
25.13-6|Fabricacao de obras de caldeiraria pesada|C-13
25.21-7|Fabricacao de tanques, reservatorios metalicos e caldeiras para aquecimento central|C-14
25.22-5|Fabricacao de caldeiras geradoras de vapor, exceto para aquecimento central e para veiculos|C-14
25.31-4|Producao de forjados de aco e de metais nao-ferrosos e suas ligas|C-13
25.32-2|"Producao de artefatos estampados de metal| metalurgia do po"|C-13
25.39-0|Servicos de usinagem, solda, tratamento e revestimento em metais|C-13
25.41-1|Fabricacao de artigos de cutelaria|C-14
25.42-0|Fabricacao de artigos de serralheria, exceto esquadrias|C-14
25.43-8|Fabricacao de ferramentas|C-14
25.50-1|Fabricacao de equipamento belico pesado, armas de fogo e municoes|C-15
25.91-8|Fabricacao de embalagens metalicas|C-14
25.92-6|Fabricacao de produtos de trefilados de metal|C-13
25.93-4|Fabricacao de artigos de metal para uso domestico e pessoal|C-14
25.99-3|Fabricacao de produtos de metal nao especificados anteriormente|C-14
26.10-8|Fabricacao de componentes eletronicos|C-14
26.21-3|Fabricacao de equipamentos de informatica|C-14
26.22-1|Fabricacao de perifericos para equipamentos de informatica|C-14
26.31-1|Fabricacao de equipamentos transmissores de comunicacao|C-14
26.32-9|Fabricacao de aparelhos telefonicos e de outros equipamentos de comunicacao|C-14
26.40-0|Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video|C-14
26.51-5|Fabricacao de aparelhos e equipamentos de medida, teste e controle|C-14
26.52-3|Fabricacao de cronometros e relogios|C-14
26.60-4|Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao|C-14
26.70-1|Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos|C-14
26.80-9|Fabricacao de midias virgens, magneticas e opticas|C-10
27.10-4|Fabricacao de geradores, transformadores e motores eletricos|C-14
27.21-0|Fabricacao de pilhas, baterias e acumuladores eletricos, exceto para veiculos automotores|C-10
27.22-8|Fabricacao de baterias e acumuladores para veiculos automotores|C-10
27.31-7|Fabricacao de aparelhos e equipamentos para distribuicao e controle de energia eletrica|C-14
27.32-5|Fabricacao de material eletrico para instalacoes em circuito de consumo|C-14
27.33-3|Fabricacao de fios, cabos e condutores eletricos isolados|C-14
27.40-6|Fabricacao de lâmpadas e outros equipamentos de iluminacao|C-14
